15
0, 116, 0, 458, 0, 0, 227, 0, 0, 0, 0, 384, 66, 0, 0
116, 0, 435, 1, 0, 0, 274, 208, 3, 487, 0, 0, 0, 292, 0
0, 435, 0, 0, 174, 459, 247, 204, 0, 0, 292, 0, 0, 0, 152
458, 1, 0, 0, 0, 0, 11, 0, 35, 282, 0, 0, 0, 294, 0
0, 0, 174, 0, 0, 231, 169, 0, 6, 52, 0, 0, 59, 35, 0
0, 0, 459, 0, 231, 0, 0, 0, 0, 0, 0, 169, 0, 480, 0
227, 274, 247, 11, 169, 0, 0, 0, 0, 0, 0, 300, 0, 0, 0
0, 208, 204, 0, 0, 0, 0, 0, 416, 0, 356, 0, 0, 189, 0
0, 3, 0, 35, 6, 0, 0, 416, 0, 379, 0, 407, 0, 0, 279
0, 487, 0, 282, 52, 0, 0, 0, 379, 0, 0, 0, 280, 0, 0
0, 0, 292, 0, 0, 0, 0, 356, 0, 0, 0, 0, 0, 0, 0
384, 0, 0, 0, 0, 169, 300, 0, 407, 0, 0, 0, 0, 385, 0
66, 0, 0, 0, 59, 0, 0, 0, 0, 280, 0, 0, 0, 0, 0
0, 292, 0, 294, 35, 480, 0, 189, 0, 0, 0, 385, 0, 0, 446
0, 0, 152, 0, 0, 0, 0, 0, 279, 0, 0, 0, 0, 446, 0
